Episode,Steps,Total_Reward,Intrinsic_Reward,D_Opt_Reward,Frontier_Reward,Epsilon
1,15,-73.64580516815187,22.904194831848145,1.0099971629679203,1.8941981196403503,0.9673333333333334
2,42,-56.92657489776609,26.273425102233887,3.0099898912012577,3.2634350061416626,0.9346666666666668
3,18,-70.61495666503907,22.935043334960938,1.0099969245493412,1.9250468611717224,0.9020000000000001
4,18,-71.71643981933595,22.883560180664062,1.0099967457354069,1.8735634088516235,0.8693333333333335
5,19,-85.79584407806398,22.929155349731445,1.0099939443171024,1.9191616773605347,0.8366666666666669
6,23,-71.91495666503907,22.935043334960938,1.0099963285028934,1.9250468611717224,0.8040000000000003
7,23,-71.93992767333985,22.910072326660156,1.0099889375269413,1.900083303451538,0.7713333333333336
8,55,-24.15303020477289,70.59112644195557,5.0099846459925175,5.581141948699951,0.738666666666667
9,48,-34.880374336242625,46.519625663757324,3.009986076503992,3.509639799594879,0.7060000000000004
10,17,-71.6664426803589,22.883557319641113,1.0099939443171024,1.8735634088516235,0.6733333333333338
11,30,-59.22084560394289,34.92915439605713,2.0099920965731144,2.9191616773605347,0.6406666666666672
12,17,-74.7958070755005,22.90419292449951,1.0099947787821293,1.8941981196403503,0.6080000000000005
13,108,-30.132553648948615,50.06744635105133,5.009974930435419,5.057472050189972,0.5753333333333339
14,12,-74.68759365081787,22.76240634918213,1.0099956132471561,1.7524102926254272,0.5426666666666673
15,14,-73.62070751190186,22.879292488098145,1.0099955536425114,1.8692967891693115,0.5100000000000007
16,17,-74.79580612182619,22.904193878173828,1.009995672851801,1.8941981196403503,0.477333333333334
17,21,-76.02084274291994,22.929157257080078,1.0099958516657352,1.9191616773605347,0.4446666666666673
18,22,-76.09580421447755,22.90419578552246,1.0099978186190128,1.8941981196403503,0.41200000000000064
19,12,-74.56644077301026,22.883559226989746,1.0099959708750248,1.8735634088516235,0.37933333333333397
20,16,-73.69580993652345,22.904190063476562,1.0099917389452457,1.8941981196403503,0.3466666666666673
21,14,-74.72263889312745,22.82736110687256,1.0099943615496159,1.8173670172691345,0.3140000000000006
22,71,-43.54493570327756,27.455064296722412,4.009990427643061,3.4450738430023193,0.28133333333333393
23,21,-55.63995819091798,34.91004180908203,2.0099898912012577,2.900052070617676,0.24866666666666726
24,103,-13.014630270004176,72.18536972999573,6.009986970573664,6.175383448600769,0.21600000000000058
25,97,-45.77842781543715,27.571572184562683,4.009980771690607,3.561591684818268,0.1833333333333339
26,103,-8.399412631988497,62.100587368011475,6.009984765201807,6.090603053569794,0.15066666666666723
27,410,127.50829634666349,140.90829634666443,17.00992814078927,13.898369163274765,0.11800000000000056
28,23,-83.29561462402344,12.604385375976562,1.0099963881075382,1.5943886041641235,0.0853333333333339
29,39,-62.599598288536,24.650401711463928,2.0099878050386906,2.6404141187667847,0.052666666666667236
30,16,-68.42530593872071,22.924694061279297,1.0099933482706547,1.9147010445594788,0.020000000000000573
31,35,-41.79835648536678,37.90164351463318,4.009984347969294,3.891660153865814,0.02
32,26,-55.964629936218245,34.83537006378174,2.009991381317377,2.825378894805908,0.02
33,45,-26.65887260437009,38.84112739562988,5.009982977062464,3.83114430308342,0.02
34,36,-51.73193874359127,27.267303943634033,4.009985480457544,3.2573185563087463,0.02
35,19,-77.03574504852295,22.86425495147705,1.0099940039217472,1.854261040687561,0.02
36,26,-54.91008853912349,34.839911460876465,2.0099883414804935,2.8299232125282288,0.02
37,35,-46.241359376907326,27.15864062309265,4.0099894143640995,3.1486515253782272,0.02
38,30,-51.121216773986774,34.628783226013184,2.0099814273416996,2.618802011013031,0.02
39,32,-51.10242137908931,34.747578620910645,2.0099860168993473,2.7375922799110413,0.02
40,25,-51.9181192398071,34.63188076019287,2.00998667255044,2.621893584728241,0.02
41,27,-52.9274656295776,34.77253437042236,2.009984765201807,2.7625496983528137,0.02
42,15,-75.76466693878174,22.88533306121826,1.0099962688982487,1.8753372430801392,0.02
43,30,-61.144672155380206,24.60532784461975,2.0099764801561832,2.5953519344329834,0.02
44,30,-51.98953895568843,34.81046104431152,2.0099843479692936,2.8004775643348694,0.02
45,23,-51.77856464385984,34.67143535614014,2.0099867321550846,2.661448895931244,0.02
46,53,-46.39284889698021,27.907151103019714,4.009983692318201,3.897167682647705,0.02
47,35,-61.39529943466183,24.604700565338135,2.009977076202631,2.5947242379188538,0.02
48,28,-57.25224666595456,26.29775333404541,3.009986851364374,3.2877670526504517,0.02
49,15,-75.78574695587159,22.864253044128418,1.00999191775918,1.854261040687561,0.02
50,46,-25.634452772140477,37.8155472278595,4.009987626224756,3.805559664964676,0.02
51,99,52.01720066070564,106.56720066070557,8.00994572415948,8.557255506515503,0.02
52,19,-75.65726486444474,12.692735135555267,1.0099940039217472,1.6827412843704224,0.02
53,26,-58.042715454101554,34.85728454589844,2.0099884010851383,2.8472962975502014,0.02
54,15,-75.68999710083008,22.960002899169922,1.00999328866601,1.9500104188919067,0.02
55,62,-20.564645695686252,49.98535430431366,5.009980950504541,4.975373595952988,0.02
56,43,-38.332312250137306,27.06768774986267,4.009981784969568,3.0577059388160706,0.02
57,26,-54.92051887512204,34.82948112487793,2.009987983852625,2.8194937109947205,0.02
58,48,-27.06411626338955,38.58588373661041,5.009988281875849,3.57589547632233,0.02
59,42,-38.17281589508055,27.177184104919434,4.009984228760004,3.1671997755765915,0.02
60,112,47.08650252819058,95.98650252819061,8.009970460087061,7.976532161235809,0.02
61,48,-38.228573870658835,28.471426129341125,5.009985063225031,3.4614409655332565,0.02
62,46,-17.572547245025604,47.977452754974365,4.009989771991968,3.9674631655216217,0.02
63,36,-50.44858691692349,26.151413083076477,3.0099875666201115,3.1414257287979126,0.02
64,20,-86.88995895385743,10.960041046142578,0.00999966636300087,0.950041651725769,0.02
65,35,-38.89498798847198,27.155012011528015,4.009984765201807,3.1450280249118805,0.02
66,132,77.06669523715956,94.41669523715973,14.009978387504816,10.406717121601105,0.02
67,198,38.12760565280928,64.02760565280914,15.009989116340876,9.017616719007492,0.02
68,32,-55.18703632354735,34.86296367645264,2.00999191775918,2.8529723286628723,0.02
69,42,-35.433337497711165,28.86666250228882,5.009973201900721,3.856689617037773,0.02
70,31,-55.13114929199218,34.86885070800781,2.009992692619562,2.85885751247406,0.02
71,39,-37.24568786621093,26.904312133789062,4.009988520294428,2.8943237364292145,0.02
